"timestamp","vmhost","pnic","speed","macaddress","peerdeviceid","peeripaddress","peerportid","observed","vlan","datacenter"
<<<<<<< HEAD
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic0","1000","2c:44:fd:7b:24:e8","rce01-prod-eat1.vmware.com(TBM16084261)","10.129.255.3","Ethernet16/1","10.128.10.1-10.128.11.254 0.0.0.1-255.255.255.254 10.128.212.1-10.128.215.254 192.168.0.1-192.168.15.254 10.128.125.8-10.128.125.15 10.113.52.1-10.113.52.254 10.113.60.1-10.113.60.254 10.113.160.1-10.113.191.254 10.113.44.1-10.113.47.254 10.119.41.1-10.119.41.63 10.113.128.1-10.113.159.254 10.119.17.1-10.119.17.127 10.119.32.1-10.119.39.254 10.113.12.1-10.113.12.254 10.113.14.1-10.113.15.254 10.113.36.16-10.113.36.31 10.119.4.1-10.119.7.254 10.129.16.160-10.129.16.175 10.128.101.25-10.128.101.25 10.128.188.1-10.128.188.63 10.113.112.1-10.113.112.31 169.254.231.223-169.254.231.223 10.113.76.128-10.113.76.159 10.119.49.42-10.119.49.42 0.0.0.1-255.255.255.254 10.119.8.21-10.119.8.21 10.253.4.1-10.253.4.127 10.113.68.104-10.113.68.107 0.0.0.1-255.255.255.254 10.113.192.1-10.113.193.254 ","3896 3889 3212 0 3155 3433 3437 3460 3036 3475 3459 3473 3474 3427 3428 3419 3471 2900 3875 3156 3103 3165 3422 3476 3887 3472 3101 3412 3163 3461 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic1","1000","2c:44:fd:7b:24:e9","rce02-prod-eat1.vmware.com(TBM16084399)","10.129.255.4","Ethernet16/1","0.0.0.1-255.255.255.254 10.128.10.1-10.128.11.254 10.128.212.1-10.128.215.254 10.128.125.8-10.128.125.15 192.168.0.1-192.168.15.254 10.113.52.1-10.113.52.254 10.113.60.1-10.113.60.127 10.113.160.1-10.113.191.254 10.113.44.1-10.113.47.254 10.119.41.1-10.119.41.63 10.113.128.1-10.113.159.254 10.119.17.1-10.119.17.127 10.119.32.1-10.119.39.254 10.113.12.1-10.113.12.254 10.113.14.1-10.113.15.254 10.113.36.16-10.113.36.31 10.119.4.1-10.119.7.254 10.129.16.160-10.129.16.175 10.128.101.25-10.128.101.25 10.128.188.1-10.128.188.63 10.113.112.1-10.113.112.31 169.254.231.223-169.254.231.223 10.113.76.128-10.113.76.159 10.119.49.42-10.119.49.42 0.0.0.1-255.255.255.254 10.119.8.21-10.119.8.21 10.253.4.1-10.253.4.127 10.113.68.104-10.113.68.107 0.0.0.1-255.255.255.254 10.113.192.1-10.113.193.254 ","3889 3896 3212 3155 0 3433 3437 3460 3036 3475 3459 3473 3474 3427 3428 3419 3471 2900 3875 3156 3103 3165 3422 3476 3887 3472 3101 3412 3163 3461 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic2",,"2c:44:fd:7b:24:ea",,,," ",,"North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic3",,"2c:44:fd:7b:24:eb",,,," ",,"North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic4","10000","a0:48:1c:75:54:f8","wdc-sw-greenplum-01.vmware.com(SSI17260687)","10.128.161.19","Ethernet1/1","192.168.20.130-192.168.20.130 ","0 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-01.vmware.com","vmnic5","10000","a0:48:1c:75:54:fc","wdc-sw-greenplum-02.vmware.com(SSI1726016Z)","10.128.161.20","Ethernet1/1","0.0.0.1-255.255.255.254 ","0 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-02.vmware.com","vmnic0","1000","d8:9d:67:2c:24:c0","rce01-prod-eat1.vmware.com(TBM16084261)","10.129.255.3","Ethernet16/2","10.128.188.1-10.128.188.63 10.128.10.1-10.128.11.254 0.0.0.1-255.255.255.254 192.168.0.1-192.168.15.254 10.128.125.8-10.128.125.15 10.113.52.1-10.113.52.254 10.113.60.1-10.113.61.254 10.113.160.1-10.113.191.254 10.113.44.1-10.113.47.254 10.119.41.1-10.119.41.63 10.113.128.1-10.113.159.254 10.119.17.1-10.119.17.127 10.119.32.1-10.119.39.254 10.113.14.1-10.113.15.254 10.113.12.1-10.113.12.254 0.0.0.1-255.255.255.254 10.113.36.16-10.113.36.31 10.119.4.1-10.119.7.254 10.129.16.160-10.129.16.175 10.128.101.25-10.128.101.25 10.113.112.1-10.113.112.31 169.254.231.223-169.254.231.223 10.119.49.42-10.119.49.42 10.113.76.128-10.113.76.159 10.128.212.1-10.128.215.254 10.119.8.21-10.119.8.21 10.113.68.104-10.113.68.107 10.253.4.1-10.253.4.127 10.113.192.1-10.113.193.254 0.0.0.1-255.255.255.254 ","3156 3896 3889 0 3155 3433 3437 3460 3036 3475 3459 3473 3474 3428 3427 3887 3419 3471 2900 3875 3103 3165 3476 3422 3212 3472 3412 3101 3461 3161 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-02.vmware.com","vmnic1","1000","d8:9d:67:2c:24:c1","rce02-prod-eat1.vmware.com(TBM16084399)","10.129.255.4","Ethernet16/2","0.0.0.1-255.255.255.254 10.128.10.1-10.128.11.254 10.128.188.1-10.128.188.63 10.128.125.8-10.128.125.15 192.168.0.1-192.168.15.254 10.113.52.1-10.113.52.254 10.113.60.1-10.113.61.254 10.113.160.1-10.113.191.254 10.113.44.1-10.113.47.254 10.119.41.1-10.119.41.63 10.113.128.1-10.113.159.254 10.119.17.1-10.119.17.127 10.119.32.1-10.119.39.254 10.113.14.1-10.113.15.254 10.113.12.1-10.113.12.254 0.0.0.1-255.255.255.254 10.113.36.16-10.113.36.31 10.119.4.1-10.119.7.254 10.129.16.160-10.129.16.175 10.128.101.25-10.128.101.25 10.113.112.1-10.113.112.31 169.254.231.223-169.254.231.223 10.119.49.42-10.119.49.42 10.113.76.128-10.113.76.159 10.128.212.1-10.128.215.254 10.119.8.21-10.119.8.21 10.113.68.104-10.113.68.107 10.253.4.1-10.253.4.127 10.113.192.1-10.113.193.254 0.0.0.1-255.255.255.254 ","3889 3896 3156 3155 0 3433 3437 3460 3036 3475 3459 3473 3474 3428 3427 3887 3419 3471 2900 3875 3103 3165 3476 3422 3212 3472 3412 3101 3461 3161 ","North America Remote Sites"
"2015-03-29 00:45:38","wdc-dev-greenplum1-02.vmware.com","vmnic2",,"d8:9d:67:2c:24:c2",,,," ",,"North America Remote Sites"
