Datacenter, Cluster,Primary,Secondary, Access IP,Virtual Server Name,Virtual Server IP, Virtual Server Port, VIP Status, VIP Enable Status, Pool Name, Pool Status,LB Method, Monitor Name, Node IP, Node Port, Node Enabled State, Node Status, iRules
hi
SC9
sc9-prod-stage-dmz-1
10.113.0.71
10.113.0.72
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-ext-vip,10.113.54.21,80,GREEN,ENABLED,w-stage-pool,GREEN,ROUND ROBIN,w-stage-monitor,10.113.54.23,80,UP,ENABLED,amsstg-redirect  http-to-https-redirect  irule-www-stage-ccred  lqestg-redirect  renewals-redirct
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-ext-vip,10.113.54.21,80,GREEN,ENABLED,w-stage-pool,GREEN,ROUND ROBIN,w-stage-monitor,10.113.54.24,80,UP,ENABLED,amsstg-redirect  http-to-https-redirect  irule-www-stage-ccred  lqestg-redirect  renewals-redirct
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-int-vip,10.113.54.22,80,GREEN,ENABLED,w-stage-pool,GREEN,ROUND ROBIN,w-stage-monitor,10.113.54.23,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-int-vip,10.113.54.22,80,GREEN,ENABLED,w-stage-pool,GREEN,ROUND ROBIN,w-stage-monitor,10.113.54.24,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-int-vip-SSL,10.113.54.22,443,GREEN,ENABLED,w-stage-pool-SSL,GREEN,ROUND ROBIN,tcp,10.113.54.23,443,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,w-stage-int-vip-SSL,10.113.54.22,443,GREEN,ENABLED,w-stage-pool-SSL,GREEN,ROUND ROBIN,tcp,10.113.54.24,443,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,supplier-staging-vip,10.113.54.200,443,RED,ENABLED,supplier-stage-pool,RED,ROUND ROBIN,tcp,10.113.54.35,8000,DOWN,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,buy-zimbra-prod-ssl-vip,10.113.63.48,443,GREEN,ENABLED,buy-zimbra-prod-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.164,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,buy-zimbra-prod-ssl-vip,10.113.63.48,443,GREEN,ENABLED,buy-zimbra-prod-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.166,80,UP,ENABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,buy-zimbra-prod-vip,10.113.63.48,80,GREEN,ENABLED,buy-zimbra-prod-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.164,80,UP,ENABLED,http-to-https-redirect
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,buy-zimbra-prod-vip,10.113.63.48,80,GREEN,ENABLED,buy-zimbra-prod-pool,GREEN,LEAST CONNECTION_MEMBER,http,10.113.62.166,80,UP,ENABLED,http-to-https-redirect
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-preprod-vip-1,10.113.54.62,80,RED,DISABLED,communities-preprod-pool,RED,ROUND ROBIN,communities-http,10.113.54.63,8080,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-preprod-vip-1,10.113.54.62,80,RED,DISABLED,communities-preprod-pool,RED,ROUND ROBIN,communities-http,10.113.54.64,8080,DOWN,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-1,10.113.63.9,80,GREEN,DISABLED,communities-prod-gbot-pool-1,GREEN,ROUND ROBIN,http1.0,10.113.62.47,80,UP,DISABLED,
SC9,sc9-prod-stage-dmz-1,10.113.0.71,10.113.0.72,10.113.0.71,communities-prod-gbot-vip-1,10.113.63.9,80,GREEN,DISABLED,communities-prod-gbot-pool-1,GREEN,ROUND ROBIN,http1.0,10.113.62.48,80,DOWN,DISABLED,
