"timestamp","vmhost","hba","status","model","driver","pci","wwnn","wwpn"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-09.vmware.com","vmhba0","unknown","Smart Array P220i","hpsa","03:00.0",,
"2014-09-16 03:08:12","wdc-stage1-r02-c06-09.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","05:00.0","50:01:43:80:26:ea:57:99","50:01:43:80:26:ea:57:98"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-09.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","05:00.1","50:01:43:80:26:ea:57:9b","50:01:43:80:26:ea:57:9a"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-09.vmware.com","vmhba3","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","21:00.0","50:01:43:80:26:ea:59:4d","50:01:43:80:26:ea:59:4c"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-09.vmware.com","vmhba4","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","21:00.1","50:01:43:80:26:ea:59:4f","50:01:43:80:26:ea:59:4e"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-11.vmware.com","vmhba0","unknown","Smart Array P220i","hpsa","03:00.0",,
"2014-09-16 03:08:12","wdc-stage1-r02-c06-11.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","05:00.0","50:01:43:80:26:e9:59:b9","50:01:43:80:26:e9:59:b8"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-11.vmware.com","vmhba2","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","05:00.1","50:01:43:80:26:e9:59:bb","50:01:43:80:26:e9:59:ba"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-11.vmware.com","vmhba3","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","21:00.0","50:01:43:80:26:e9:63:41","50:01:43:80:26:e9:63:40"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-11.vmware.com","vmhba4","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","21:00.1","50:01:43:80:26:e9:63:43","50:01:43:80:26:e9:63:42"
"2014-09-16 03:08:12","wdc-stage1-r02-c06-12.vmware.com","vmhba0","unknown","Smart Array P220i","hpsa","03:00.0",,
"2014-09-16 03:08:12","wdc-stage1-r02-c06-12.vmware.com","vmhba1","online","ISP2532-based 8Gb Fibre Channel to PCI Express HBA","qlnativefc","05:00.0","50:01:43:80:26:e9:57:69","50:01:43:80:26:e9:57:68"
