"vcserver","datacenter","vmhost","vswitch","portgroup"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-02.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-02.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-02.vmware.com","vSwitch1","VMotion"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-02.vmware.com","vSwitch2","RAC-heartbeat"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-03.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-03.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-03.vmware.com","vSwitch1","VMotion"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-03.vmware.com","vSwitch2","RAC-heartbeat"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-04.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-04.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-04.vmware.com","vSwitch1","VMotion"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-04.vmware.com","vSwitch2","RAC-heartbeat"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-05.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-05.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-05.vmware.com","vSwitch1","VMotion"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-05.vmware.com","vSwitch2","RAC-heartbeat"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-06.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-06.vmware.com","vSwitch0","Management Network"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-06.vmware.com","vSwitch1","VMotion"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-06.vmware.com","vSwitch2","RAC-heartbeat"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-01.vmware.com","vSwitch0","wdc-lt-POD3-10.128.10.0/23"
"vc-dev-1.vmware.com","North America Remote Sites","wdc-lt-rac-01.vmware.com","vSwitch0","Management Network"
