name,ip,port,f5_cname,pool_name,lb_method
/onecloud/s2-dev16-lr2-vip,10.148.80.82,8011,ltm-onecloud-1,/onecloud/s2-dev16-lr2-vip-pool,ROUND,ROBIN
/onecloud/s2-dev99-wcm-static-vip,10.148.80.63,81,ltm-onecloud-1,/onecloud/s2-dev99-wcm-static-vip-pool,ROUND,ROBIN
/onecloud/s2-dev99-tcs3-vip,10.148.80.60,8311,ltm-onecloud-1,/onecloud/s2-dev99-tcs3-vip-pool,ROUND,ROBIN
/onecloud/comm-dev16.vmware.com,10.148.80.55,80,ltm-onecloud-1,/onecloud/comm-dev16.vmware.com-pool,ROUND,ROBIN
/onecloud/s2-dev16-lr1-vip,10.148.80.81,8001,ltm-onecloud-1,/onecloud/s2-dev16-lr1-vip-pool,ROUND,ROBIN
/onecloud/s2-dev16-wcm-static-vip,10.148.80.79,81,ltm-onecloud-1,/onecloud/s2-dev16-wcm-static-vip-pool,ROUND,ROBIN
/onecloud/s2-dev16-wcm-vip,10.148.80.78,8251,ltm-onecloud-1,/onecloud/s2-dev16-wcm-vip-pool,ROUND,ROBIN
/onecloud/portal-dev16-flexlm-vip,10.148.80.53,80,ltm-onecloud-1,/onecloud/portal-dev16-flexlm-vip-pool,ROUND,ROBIN
/onecloud/communities-test11-vip,10.148.232.184,80,ltm-onecloud-1,/onecloud/communities-test11-vip-pool,ROUND,ROBIN
/onecloud/communities-test11-vip.vmware.com_SSL,10.148.232.184,443,ltm-onecloud-1,/onecloud/communities-test11-vip-pool,ROUND,ROBIN
/onecloud/communities-test12-vip,10.148.232.252,80,ltm-onecloud-1,/onecloud/communities-test12-vip-pool,ROUND,ROBIN
/onecloud/communities-test13-vip,10.148.233.54,80,ltm-onecloud-1,/onecloud/communities-test13-vip-pool,ROUND,ROBIN
/onecloud/communities-test31-vip,10.148.232.173,80,ltm-onecloud-1,/onecloud/communities-test31-vip-pool,ROUND,ROBIN
/onecloud/dev11soa.vmware.com,10.148.232.103,7777,ltm-onecloud-1,/onecloud/dev11soa-pool,ROUND,ROBIN
/onecloud/dev12-idp-vip,10.148.232.99,8080,ltm-onecloud-1,/onecloud/dev12-idp-vip-pool,ROUND,ROBIN
/onecloud/dev12soa-vip,10.148.232.116,7777,ltm-onecloud-1,/onecloud/dev12soa-vip-pool,ROUND,ROBIN
/onecloud/dev13soa-vip,10.148.233.16,7777,ltm-onecloud-1,/onecloud/dev13soa-vip-pool,ROUND,ROBIN
/onecloud/dev14soa-vip,10.148.233.77,7777,ltm-onecloud-1,/onecloud/dev14soa-vip-pool,ROUND,ROBIN
/onecloud/dev15soa-vip,10.148.232.146,7777,ltm-onecloud-1,/onecloud/dev15soa-vip-pool,ROUND,ROBIN
/onecloud/dev65soa-vip,10.148.232.144,7777,ltm-onecloud-1,/onecloud/dev65soa-vip-pool,ROUND,ROBIN
/onecloud/lrp-test11-vip,10.148.232.105,80,ltm-onecloud-1,/onecloud/lrp-test11-vip-pool,ROUND,ROBIN
/onecloud/lrp-test11-vip-ssl,10.148.232.105,443,ltm-onecloud-1,/onecloud/lrp-test11-vip-pool,ROUND,ROBIN
/onecloud/lrp-test12-vip,10.148.232.217,80,ltm-onecloud-1,/onecloud/lrp-test12-vip-pool,ROUND,ROBIN
/onecloud/lrp-test12-vip-ssl,10.148.232.217,443,ltm-onecloud-1,/onecloud/lrp-test12-vip-pool,ROUND,ROBIN
